Model,Condition,Idea 0: Prop,Idea 0: CI,Idea 0: p-val,Idea 1: p-val,Idea 2: Coef,Idea 2: CI,Idea 2: p-val,Idea 3: p-val,M1.51: Coef,M1.51: CI,M1.51: p-val
claude-3-5-sonnet-20241022,"Redacted, Correct",,,,,,,,,,,
claude-3-5-sonnet-20241022,"Redacted, Incorrect",,,,,,,,,,,
claude-3-haiku-20240307,"Redacted, Correct",,,,,,,,,,,
claude-3-haiku-20240307,"Redacted, Incorrect",,,,,,,,,,,
claude-3-sonnet-20240229,"Redacted, Correct",,,,,,,,,,,
claude-3-sonnet-20240229,"Redacted, Incorrect",,,,,,,,,,,
claude-sonnet-4-20250514,"Redacted, Correct",,,,,,,,,,,
claude-sonnet-4-20250514,"Redacted, Incorrect",,,,,,,,,,,
deepseek-chat,"Redacted, Correct",,,,,,,,,,,
deepseek-chat,"Redacted, Incorrect",,,,,,,,,,,
gemini-1.5-pro,"Redacted, Correct",,,,,,,,,,,
gemini-1.5-pro,"Redacted, Incorrect",,,,,,,,,,,
gemini-2.0-flash-001,"Redacted, Correct",0.4782608695652174,"[0.274, 0.682]",0.1641005733032206,0.010817951122998638,0.40284523190806426,"[0.088, 0.718]",0.012820164171402288,0.006317831424156564,-0.5710468076389814,"[-1.015, -0.127]",0.011681052281845846
gemini-2.0-flash-001,"Redacted, Incorrect",0.65625,"[0.540, 0.773]",5.356020821365968e-08,0.0009066984880501061,0.6285072463673715,"[0.405, 0.852]",1.1833865243224903e-07,0.0004031146901668627,-0.3511922914965202,"[-0.717, 0.014]",0.05966423627928522
gemini-2.5-flash-preview-04-17,"Redacted, Incorrect",,,,,,,,,,,
gpt-4.1-2025-04-14,"Redacted, Correct",0.5384615384615384,"[0.267, 0.809]",0.13791603191864565,0.0234375,0.8749700668434891,"[0.457, 1.293]",0.0003800007348800615,0.1953125,0.2849390671469356,"[-0.717, 1.287]",0.577302038883512
gpt-4.1-2025-04-14,"Redacted, Incorrect",0.574468085106383,"[0.433, 0.716]",0.0008270945114849815,0.0025363387394463643,0.8362831780084535,"[0.579, 1.093]",6.8912478025645385e-09,0.0075991934863850474,0.10661089323978273,"[-0.430, 0.643]",0.6969566455835314
gpt-4o-2024-08-06,"Redacted, Correct",0.42424242424242425,"[0.256, 0.593]",0.29066441074161053,0.2691442188924337,0.22356960487843705,"[0.033, 0.415]",0.022128932510594508,0.8532744025180012,-0.4485438006375999,"[-1.026, 0.129]",0.12799899030276848
gpt-4o-2024-08-06,"Redacted, Incorrect",0.4380952380952381,"[0.343, 0.533]",0.030492979736449943,0.2519666340396789,-0.02895539787668224,"[-0.232, 0.175]",0.7794842237082963,1.0166451942371402e-08,-0.36679125884461844,"[-0.664, -0.069]",0.015716989862480234
grok-3-latest,"Redacted, Correct",0.8461538461538461,"[0.707, 0.985]",4.2475147954588735e-13,1.2053414174850445e-07,0.571261986721263,"[0.320, 0.823]",1.3134265443286143e-05,0.7077484873639345,-0.31386678061987755,"[-0.589, -0.039]",0.02529837296522921
grok-3-latest,"Redacted, Incorrect",0.6704545454545454,"[0.572, 0.769]",1.7202739283216842e-11,0.008351114348771461,0.576520039558396,"[0.383, 0.770]",1.4992289402111096e-08,0.3100694348907449,-0.23815334924158787,"[-0.505, 0.028]",0.0798208761924568
